,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),Average Running Time (Mins),,,,
Circle ,Outer,BLACKFRIARS,TEMPLE,1.37,1.50,1.50,1.46,,,,
Circle ,Outer,TEMPLE,EMBANKMENT,1.43,2.00,2.01,1.81,,,,
Circle ,Outer,EMBANKMENT,WESTMINSTER,1.40,1.50,1.50,1.47,,,,
Circle ,Outer,WESTMINSTER,ST JAMES PARK,1.52,1.50,1.50,1.51,,,,
Circle ,Outer,ST JAMES PARK,VICTORIA,1.33,2.00,2.00,1.78,,,,
Circle ,Outer,VICTORIA,SLOANE SQUARE,1.75,2.00,2.00,1.92,,,,
Circle ,Outer,SLOANE SQUARE,SOUTH KENSINGTON,2.00,2.98,2.50,2.49,,,,
Circle ,Outer,SOUTH KENSINGTON,GLOUCESTER ROAD,1.48,2.02,2.54,2.02,,,,
Circle ,Outer,GLOUCESTER ROAD,HIGH STREET KENSINGTON,2.23,3.98,2.92,3.04,,,,
Circle ,Outer,HIGH STREET KENSINGTON,NOTTING HILL GATE,1.68,2.00,2.00,1.89,,,,
Circle ,Outer,NOTTING HILL GATE,BAYSWATER,1.77,2.00,2.00,1.92,,,,
Circle ,Outer,BAYSWATER,PADDINGTON (CIRCLE),1.63,2.45,2.01,2.03,,,,
Circle ,Outer,PADDINGTON (CIRCLE),EDGWARE ROAD,2.15,3.71,3.72,3.19,,,,
London Overground North,Eastbound,RICHMOND,KEW GARDENS,2.72,3.00,3.00,2.91,,,,
London Overground North,Eastbound,KEW GARDENS,GUNNERSBURY,2.65,3.00,3.00,2.88,,,,
London Overground North,Eastbound,GUNNERSBURY,SOUTH ACTON,2.70,3.00,3.00,2.90,,,,
London Overground North,Eastbound,SOUTH ACTON,ACTON CENTRAL,2.79,3.00,3.00,2.93,,,,
London Overground North,Eastbound,ACTON CENTRAL,WILLESDEN JUNCTION,4.50,5.00,8.00,5.83,,,,
London Overground North,Eastbound,WILLESDEN JUNCTION,KENSAL RISE,1.90,3.00,2.00,2.30,,,,
London Overground North,Eastbound,KENSAL RISE,BRONDESBURY PARK,1.75,2.00,2.00,1.92,,,,
London Overground North,Eastbound,BRONDESBURY PARK,BRONDESBURY,1.81,2.00,2.00,1.94,,,,
London Overground North,Eastbound,BRONDESBURY,WEST HAMPSTEAD,1.75,2.00,2.00,1.92,,,,
London Overground North,Eastbound,WEST HAMPSTEAD,FINCHLEY ROAD & FROGNAL,1.62,2.00,2.00,1.87,,,,
London Overground North,Eastbound,FINCHLEY ROAD & FROGNAL,HAMPSTEAD HEATH,1.80,2.00,3.00,2.27,,,,
London Overground North,Eastbound,HAMPSTEAD HEATH,GOSPEL OAK,2.50,3.00,3.00,2.83,,,,
London Overground North,Eastbound,GOSPEL OAK,KENTISH TOWN WEST,1.75,2.00,2.00,1.92,,,,
London Overground North,Eastbound,KENTISH TOWN WEST,CAMDEN ROAD,2.63,3.00,3.00,2.88,,,,
London Overground North,Eastbound,CAMDEN ROAD,CALEDONIAN ROAD & BARNSBURY,2.63,3.00,3.00,2.88,,,,
London Overground North,Eastbound,CALEDONIAN ROAD & BARNSBURY,HIGHBURY & ISLINGTON,1.90,3.00,2.00,2.30,,,,
London Overground North,Eastbound,HIGHBURY & ISLINGTON,CANONBURY,1.75,2.00,2.00,1.92,,,,
London Overground North,Eastbound,CANONBURY,DALSTON KINGSLAND,1.75,2.00,2.00,1.92,,,,
London Overground North,Eastbound,DALSTON KINGSLAND,HACKNEY CENTRAL,1.75,2.00,2.00,1.92,,,,
London Overground North,Eastbound,HACKNEY CENTRAL,HOMERTON,1.80,3.00,2.00,2.27,,,,
London Overground North,Eastbound,HOMERTON,HACKNEY WICK,1.84,2.00,3.00,2.28,,,,
London Overground North,Eastbound,HACKNEY WICK,STRATFORD,4.75,5.00,6.00,5.25,,,,
London Overground North,Westbound,STRATFORD,HACKNEY WICK,2.75,3.00,3.00,2.92,,,,
London Overground North,Westbound,HACKNEY WICK,HOMERTON,2.75,3.00,3.00,2.92,,,,
London Overground North,Westbound,HOMERTON,HACKNEY CENTRAL,1.91,3.00,2.00,2.30,,,,
London Overground North,Westbound,HACKNEY CENTRAL,DALSTON KINGSLAND,1.91,3.00,2.00,2.30,,,,
London Overground North,Westbound,DALSTON KINGSLAND,CANONBURY,1.65,2.00,2.00,1.88,,,,
London Overground North,Westbound,CANONBURY,HIGHBURY & ISLINGTON,2.64,3.00,3.00,2.88,,,,
London Overground North,Westbound,HIGHBURY & ISLINGTON,CALEDONIAN ROAD & BARNSBURY,1.71,2.00,2.00,1.90,,,,
London Overground North,Westbound,CALEDONIAN ROAD & BARNSBURY,CAMDEN ROAD,3.87,4.00,5.00,4.29,,,,
London Overground North,Westbound,CAMDEN ROAD,KENTISH TOWN WEST,1.94,2.00,3.00,2.31,,,,
London Overground North,Westbound,KENTISH TOWN WEST,GOSPEL OAK,1.91,3.00,2.00,2.30,,,,
London Overground North,Westbound,GOSPEL OAK,HAMPSTEAD HEATH,1.75,2.00,2.00,1.92,,,,
London Overground North,Westbound,HAMPSTEAD HEATH,FINCHLEY ROAD & FROGNAL,1.61,2.00,2.00,1.87,,,,
London Overground North,Westbound,FINCHLEY ROAD & FROGNAL,WEST HAMPSTEAD,2.67,3.00,3.00,2.89,,,,
